scientificName,x_coord,y_coord,presence,elevation,slope,aspect,hcas
Amytornis purnelli,-42632.87083273899,-2619356.7679810487,1,681.87994,88.14425,197.01074,0.65780026
Amytornis purnelli,75667.77668579656,-2550147.475702934,1,779.15674,87.06927,359.33994,0.4972888
Amytornis purnelli,-43035.73179746538,-2619308.843174693,1,627.7212,68.25972,261.10455,0.5547838
Amytornis purnelli,230541.91410658043,-2102701.79943821,1,373.60672,60.634464,152.50916,0.45119688
Amytornis purnelli,224008.66898438276,-2557673.3105833502,1,559.8969,56.71737,320.86856,0.7842273
Amytornis purnelli,-43191.912107239026,-2619224.8259402933,1,626.0127,52.34814,324.0301,0.6440959
Amytornis purnelli,-74430.5398488156,-2446518.9269797476,1,579.7813,83.60255,74.120125,0.87512976
Amytornis purnelli,208618.72831055877,-2586066.982234656,1,517.11664,69.21823,307.71603,0.72497034
Amytornis purnelli,203031.7600599423,-2563855.2910739523,1,562.0627,88.118805,166.89342,0.40030265
Amytornis purnelli,240206.949076502,-2540289.7293873397,1,551.14264,64.86626,203.13919,0.9006038
Amytornis purnelli,73334.64962695011,-2549221.0192309665,1,724.82574,88.70453,98.31692,0.6255425
Amytornis purnelli,58398.83954929913,-2543638.7842617137,1,1341.5643,63.77133,16.30004,0.48649922
Amytornis purnelli,75665.82966427684,-2550152.27597086,1,779.15674,87.06927,359.33994,0.4972888
Amytornis purnelli,75660.80183715429,-2550148.5537955696,1,779.15674,87.06927,359.33994,0.4972888
Amytornis purnelli,73485.34246483448,-2549167.717736688,1,686.9756,87.39989,109.35689,0.6069793
Amytornis purnelli,73690.18862292902,-2548775.6757926787,1,694.41846,88.5195,138.6715,0.39165524
Amytornis purnelli,229923.91969151405,-2101612.483148302,1,367.18756,44.44924,344.91345,0.6303555
Amytornis purnelli,-43118.24991603852,-2619174.636924058,1,627.1451,78.3597,176.24805,0.86325175
